,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,53.75,ASHOKLEY,40.0,,25659.0,4.32,Ashok Leyland Limited,N,19-MAR-20,,Listed,49.9,48.9,28.93,44.05,,,,18-APR-19,,47.45,25659.0,38050519.0,-2.56,18503.97,19.18,,48.63,,6889.98,INTERIM DIVIDEND -RS 0.50 PER SHARE,,20-Apr-2020 00:00:00,,97.2,48.9,,33.7,,,20-MAR-20,7298477.0,,No Band,6.75,25-MAR-20,28.93,47.9,,38050519.0,,,,-1.25,,,,False,,,,EQ,1.0,,0.0,49.45,INE208A01029,47.65
1,3212.3,HDFCAMC,40.0,16-JUL-19,,18.43,HDFC Asset Management Company Limited,N,04-JUL-19,06-JUL-19,Listed,2820.0,2676.95,16.57,2141.6,,,,22-NOV-19,,2700.0,,364235.0,5.04,10048.55,36.15,1522.0,2758.81,,11876.81,ANNUAL GENERAL MEETING/DIVIDEND - RS 12 PER SHARE,,20-Apr-2020 00:00:00,2792.85,3844.0,2676.95,,1531.5,,,,131685.0,,20.0,5.0,18-APR-19,16.57,,,364235.0,,,,135.05,,,,False,,,1522.0,EQ,5.0,,0.0,2700.0,INE127D01025,2812.0
2,1001.3,HDFCBANK,23.29,,8054.0,,HDFC Bank Limited,N,19-SEP-19,,Listed,960.95,910.3,18.29,819.3,,,,19-DEC-19,,935.0,8054.0,33116614.0,3.63,313183.82,40.86,,945.7,,409183.99,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,,20-Apr-2020 00:00:00,,1305.5,910.3,,738.75,,,20-SEP-19,13530602.0,,No Band,5.0,24-MAR-20,18.29,944.85,,33116614.0,,,,33.0,,,,False,,,,EQ,1.0,,0.0,951.0,INE040A01034,943.3
3,136.55,HINDALCO,29.66,30-AUG-19,,,Hindalco Industries Limited,N,14-AUG-19,17-AUG-19,Listed,125.15,124.15,24.66,111.75,,,,02-JAN-20,,115.75,,18342560.0,-5.64,21853.33,24.1,4086.0,119.14,,17001.01,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,,20-Apr-2020 00:00:00,116.45,221.2,124.15,,84.9,,,,4419842.0,,No Band,5.0,23-MAR-20,24.66,,,18342560.0,,,,-7.00,,,,False,,,4086.0,EQ,1.0,,0.0,125.0,INE038A01020,117.15
4,413.1,ICICIBANK,40.0,09-AUG-19,,10.43,ICICI Bank Limited,N,22-JUL-19,24-JUL-19,Listed,378.9,375.55,24.57,338.0,,,,30-DEC-19,,357.0,,55811178.0,-3.67,206735.77,27.98,5742.0,370.42,,233847.13,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,,20-Apr-2020 00:00:00,361.3,552.2,375.55,,268.3,,,,15614026.0,,No Band,5.0,24-MAR-20,24.57,,,55811178.0,,,,-13.80,,,,False,,,5742.0,EQ,2.0,,0.0,376.0,INE090A01021,361.75
5,29.0,IDFCFIRSTB,47.1,31-JUL-18,,17.98,IDFC First Bank Limited,N,23-JUL-18,25-JUL-18,Listed,26.9,26.4,23.58,23.8,,,,18-APR-19,,24.5,,33183029.0,-5.49,8537.99,31.3,25227.0,25.73,,5139.62,DIVIDEND RE 0.75 PER SHARE,,20-Apr-2020 00:00:00,24.85,54.0,26.4,,17.65,,,,10386431.0,,No Band,5.54,24-MAR-20,23.58,,,33183029.0,,,,-1.45,,,,False,,,25227.0,EQ,10.0,,0.0,26.9,INE092T01019,24.95
6,1424.45,IRCTC,24.47,,,,Indian Railway Catering And Tourism Corporation Limited,N,24-FEB-20,,Listed,1424.45,1356.65,18.78,1288.85,,,,25-FEB-20,,1370.0,,1180896.0,5.0,16692.79,35.03,32833.0,1413.57,,2962.86,INTERIM DIVIDEND - RS 10 PER SHARE,,20-Apr-2020 00:00:00,1424.45,1994.0,1356.65,,625.0,,,25-FEB-20,413665.0,,5.0,5.69,14-OCT-19,18.78,,,1180896.0,,,,67.8,,,,False,,,32833.0,EQ,10.0,,0.0,1407.0,INE335Y01012,1424.45
7,506.25,IGL,22.96,24-SEP-19,1686.0,1.76,Indraprastha Gas Limited,N,12-SEP-19,14-SEP-19,Listed,475.0,460.25,16.2,414.25,,,,07-FEB-20,,451.0,1686.0,3095341.0,1.2,14467.62,31.98,,467.4,,16254.02,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE,,20-Apr-2020 00:00:00,,534.2,460.25,,284.05,,,,989756.0,,No Band,5.0,19-MAR-20,16.2,464.4,,3095341.0,,,,5.5,,,,False,,,,EQ,2.0,,0.0,462.0,INE203G01027,465.75
8,206.9,ITC,21.84,27-MAY-19,21876.0,0.01,ITC Limited,N,22-MAY-19,24-MAY-19,Listed,189.95,188.1,16.83,169.3,,,,21-MAY-19,,179.5,21876.0,35767070.0,-3.83,64978.04,52.75,,181.67,,157705.64,DIVIDEND - RS 5.75 PER SHARE,,20-Apr-2020 00:00:00,,310.0,188.1,,134.6,,,,18867318.0,,No Band,5.0,13-MAR-20,16.83,180.7,,35767070.0,,,,-7.20,,,,False,,,,EQ,1.0,,0.0,189.95,INE154A01025,180.9
9,6055.5,MARUTI,29.31,27-AUG-19,2973.0,,Maruti Suzuki India Limited,N,14-AUG-19,17-AUG-19,Listed,5573.95,5505.0,24.31,4954.5,,,,29-OCT-19,,5280.0,2973.0,1555313.0,-3.77,83835.73,17.64,,5390.28,,70861.76,DIVIDEND - RS 80 PER SHARE,,20-Apr-2020 00:00:00,,7758.7,5505.0,,4001.1,,,,274417.0,,No Band,5.0,03-APR-20,24.31,5331.35,,1555313.0,,,,-207.70,,,,False,,,,EQ,5.0,,0.0,5512.0,INE585B01010,5297.3
10,1618.1,PIDILITIND,20.63,,619.0,,Pidilite Industries Limited,N,13-MAR-20,,Listed,1498.9,1471.0,15.63,1323.9,,,,11-MAR-20,,1446.0,619.0,618633.0,-0.75,9085.74,34.01,,1468.68,,22339.46,INTERIM DIVIDEND - RS 7 PER SHARE,,20-Apr-2020 00:00:00,,1709.9,1471.0,,1095.0,,,16-MAR-20,210371.0,,No Band,5.0,15-MAY-19,15.63,1465.85,,618633.0,,,,-11.00,,,,False,,,,EQ,1.0,,0.0,1471.1,INE318A01026,1460.0
11,1346.4,RELIANCE,25.78,,,,Reliance Industries Limited,N,02-AUG-19,,Listed,1257.0,1224.0,20.78,1101.6,,,,20-DEC-19,,1202.0,,16472339.0,1.97,202403.87,23.24,12989.0,1228.75,,402123.76,ANNUAL GENERAL MEETING/DIVIDEND - RS 6.50 PER SHARE,,20-Apr-2020 00:00:00,1243.8,1617.55,1224.0,,875.65,,,05-AUG-19,3828855.0,,No Band,5.0,23-MAR-20,20.78,,,16472339.0,,,,24.1,,,,False,,,12989.0,EQ,10.0,,0.0,1226.0,INE002A01018,1248.1
12,636.6,SBICARD,40.0,,5698.0,7.04,SBI Cards and Payment Services Limited,N,,,Listed,548.9,530.5,21.21,424.4,,,,18-MAR-20,,528.5,5698.0,5766967.0,1.96,31103.56,38.23,,539.34,,5578.44,,,20-Apr-2020 00:00:00,,769.0,530.5,,501.0,,,,2204541.0,,20.0,11.75,16-APR-20,21.21,540.1,,5766967.0,,,,10.4,,,,False,,,,EQ,10.0,,0.0,534.75,INE018E01016,540.9
13,1986.8,TCS,20.98,,544.0,1.89,Tata Consultancy Services Limited,N,19-MAR-20,,Listed,1830.0,1806.2,14.09,1625.6,,,,03-SEP-19,,1802.5,544.0,3244293.0,0.69,58904.03,43.39,,1815.62,,191079.68,INTERIM DIVIDEND - RS 12 PER SHARE,,20-Apr-2020 00:00:00,,2296.2,1806.2,,1506.05,,,20-MAR-20,1407671.0,,No Band,5.0,13-MAR-20,14.09,1818.65,,3244293.0,,,,12.4,,,,False,,,,EQ,1.0,,0.0,1830.0,INE467B01029,1818.6
14,3887.45,ULTRACEMCO,28.82,18-JUL-19,18.0,7.24,UltraTech Cement Limited,N,10-JUL-19,12-JUL-19,Listed,3570.0,3534.05,16.58,3180.65,,,,27-MAY-19,,3490.05,18.0,391192.0,-0.56,13766.67,35.85,,3519.16,,40598.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 11.50 PER SHARE,,20-Apr-2020 00:00:00,,4904.95,3534.05,,2910.0,,,,140229.0,,No Band,5.0,25-MAR-20,16.58,3516.55,,391192.0,,,,-19.65,,,,False,,,,EQ,10.0,,0.0,3570.0,INE481G01011,3514.4
15,31.35,YESBANK,87.2,12-JUN-19,,,Yes Bank Limited,N,03-JUN-19,06-JUN-19,Listed,30.1,25.1,68.96,22.6,,,,18-APR-19,,25.1,,114977373.0,18.53,32998.51,21.26,88595.0,28.7,,4804.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,,20-Apr-2020 00:00:00,29.45,267.95,25.1,,5.65,,,,24442623.0,,No Band,18.24,06-MAR-20,68.96,,,114977373.0,,,,4.65,,,,False,,,88595.0,EQ,2.0,,0.0,25.6,INE528G01035,29.75
